id,buyercode,sellercode,order_year,odai,ordered,onai,delivery_year,term,designation,category,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
55238,BF,ALB,2011,X,12,X,2011,N/A,M-43 120mm,AR,Mortar,L,12,,2011,Burkina Faso,Albania,S,0.02,0.24,0.24
3622,ANG,ALG,1980,,4,,1980,N/A,N-262 Fregate,AC,Transport aircraft,L,4,,1980,Angola,Algeria,S,1.5,6,6
11246,NIG,ALG,1967,,2,X,1968,N/A,Il-28,AC,Bomber aircraft,L,2,X,1968,Nigeria,Algeria,S,2.88,5.76,5.76
3667,CON,ANG,1979,,1,,1979,AID,Noratlas,AC,Transport aircraft,L,1,,1979,Congo,Angola,S,2.8,2.8,2.8
3684,GBI,ANG,1980,,1,,1980,N/A,Do-27,AC,Light aircraft,L,1,,1980,Guinea-Bissau,Angola,S,0.048,0.048,0.048
33777,IVO,ANG,2002,,2,X,2002,N/A,BMP-2,AV,IFV,L,2,X,2002,Cote d'Ivoire,Angola,S,0.36,0.72,0.72
33871,IVO,ANG,2002,,2,,2002,N/A,T-55,AV,Tank,L,2,,2002,Cote d'Ivoire,Angola,S,0.5,1,1
20795,USA,ANG,1992,,250,,1992,N/A,FIM-92 Stinger,MI,Portable SAM,L,250,,1992,United States,Angola,S,0.032,8,8
31645,BOL,ARG,2006,,37,X,2006,AID,M-3/M-5 Half-track,AV,APC,L,37,X,2006,Bolivia,Argentina,S,0.06,2.22,2.22
19781,COL,ARG,1989,,3,,1990,AID,IA-58A Pucara,AC,Ground attack ac,L,3,,1990,Colombia,Argentina,S,2,6,6
60163,DEN,ARG,1988,,3,,1988,N/A,Gem,EN,Turboshaft,L,3,,1988,Denmark,Argentina,S,0.3,0.9,0.9
18434,DEN,ARG,1987,X,1,,1987,N/A,Lynx,AC,ASW helicopter,L,1,,1987,Denmark,Argentina,S,4,4,4
24488,ECU,ARG,1995,X,18,,1995,N/A,M-101A1 105mm,AR,Towed gun,L,18,,1995,Ecuador,Argentina,R,0.297,5.346,5.346
25934,HON,ARG,1980,X,60,X,1983,N/A,MO-120-M65 120mm,AR,Mortar,L,60,X,1981-1983,Honduras,Argentina,N,0.05,3,3
17327,PAR,ARG,1964,,3,,1968,N/A,Bouchard,SH,OPV,L,3,,1964-1968,Paraguay,Argentina,S,4,12,12
9788,PAR,ARG,1962,,3,,1962,N/A,CV-440,AC,Transport aircraft,L,3,,1962,Paraguay,Argentina,S,2,6,6
2842,PAR,ARG,1979,,1,,1979,AID,DC-3/C-47 Skytrain,AC,Transport aircraft,L,1,,1979,Paraguay,Argentina,S,1,1,1
9773,PAR,ARG,1970,X,1,,1972,AID,DHC-3 Otter,AC,Light transport ac,L,1,,1972,Paraguay,Argentina,S,0.32,0.32,0.32
29593,PAR,ARG,1980,,3,,1980,N/A,Firefly,AV,Tank,L,3,,1980,Paraguay,Argentina,S,0.36,1.08,1.08
9776,PAR,ARG,1966,X,1,,1967,AID,G-21 Goose,AC,Light transport ac,L,1,,1967,Paraguay,Argentina,S,0.24,0.24,0.24
20778,PAR,ARG,1972,,1,,1972,N/A,LSM,SH,Landing ship,L,1,,1972,Paraguay,Argentina,R,10.56,10.56,10.56
53100,PAR,ARG,2007,,20,,2011,AID,M-3/M-5 Half-track,AV,APC,L,20,X,2011,Paraguay,Argentina,S,0.06,1.2,1.2
29594,PAR,ARG,1982,X,6,,1982,N/A,M-4 Sherman,AV,Tank,L,6,X,1982,Paraguay,Argentina,S,0.336,2.016,2.016
25378,PAR,ARG,1975,X,10,,1976,AID,T-6 Texan,AC,Trainer aircraft,L,10,,1976,Paraguay,Argentina,S,0.128,1.28,1.28
32150,SPA,ARG,2001,,1,,2001,N/A,CH-47C Chinook,AC,Transport helicopter,L,1,,2001,Spain,Argentina,S,6,6,6
21165,SRI,ARG,1992,,4,,1994,N/A,IA-58A Pucara,AC,Ground attack ac,L,4,,1993-1994,Sri Lanka,Argentina,N,3.8,15.2,15.2
22302,URU,ARG,1979,X,3,,1979,N/A,Beech-18/C-45,AC,Light transport ac,L,3,,1979,Uruguay,Argentina,S,0.16,0.48,0.48
2877,URU,ARG,1980,,6,,1981,N/A,IA-58A Pucara,AC,Ground attack ac,L,6,,1981,Uruguay,Argentina,N,3.8,22.8,22.8
32179,URU,ARG,2000,,1,,2000,LOAN,IA-58A Pucara,AC,Ground attack ac,L,1,,2000,Uruguay,Argentina,S,2,2,2
60797,URU,ARG,2002,,1,,2002,LOAN,IA-58A Pucara,AC,Ground attack ac,L,1,,2002,Uruguay,Argentina,S,2,2,2
21630,URU,ARG,1990,X,1,,1991,N/A,PA-34 Seneca,AC,Light transport ac,L,1,,1991,Uruguay,Argentina,N,0.37,0.37,0.37
23987,URU,ARG,1993,X,1,,1994,N/A,PA-34 Seneca,AC,Light transport ac,L,1,,1994,Uruguay,Argentina,N,0.37,0.37,0.37
3332,URU,ARG,1979,,9,,1979,AID,T-28D,AC,Trainer/combat ac,L,9,,1979,Uruguay,Argentina,S,0.7,6.3,6.3
23988,URU,ARG,1969,X,2,,1970,N/A,T-6 Texan,AC,Trainer aircraft,L,2,,1970,Uruguay,Argentina,S,0.128,0.256,0.256
57015,SUD,ARM,2005,X,1,,2006,POLI,An-32,AC,Transport aircraft,L,1,,2006,Sudan,Armenia,S,4.4,4.4,4.4
27354,ISR,ARU,1996,X,1,,1996,N/A,Boeing-707,AC,Transport aircraft,L,1,,1996,Israel,Aruba,S,17.8,17.8,17.8
22260,ARG,AST,1985,X,10,,1986,N/A,Greif,AV,ARV,L,10,X,1986,Argentina,Austria,N,0.75,7.5,7.5
